        162     163     241     263     290     343     350     351     353     452     452l    457     457l    467
162     0       0       0       0       0       0       0       0       0       0       0       0       0       0
163     0       0       0       0       0       0       0       0       0       0       0       0       0       0
241     0       0       0       2       5       1       1       0       1       0       0       0       0       0
263     0       0       2       0       4       1       3       5       1       0       0       0       0       0
290     0       0       5       4       0       1       1       4       1       1       0       1       0       1
343     0       0       1       1       1       0       1       1       3       1       0       5       0       0
350     0       0       1       3       1       1       0       3       5       1       0       1       0       0
351     0       0       0       5       4       1       3       0       2       0       0       0       0       0
353     0       0       1       1       1       3       5       2       0       1       0       1       0       0
452     0       0       0       0       1       1       1       0       1       0       5       3       0       1
452l    0       0       0       0       0       0       0       0       0       5       0       0       0       0
457     0       0       0       0       1       5       1       0       1       3       0       0       5       1
457l    0       0       0       0       0       0       0       0       0       0       0       5       0       0
467     0       0       0       0       1       0       0       0       0       1       0       1       0       0
